business type,deposit 1,deposit 2,deposit 3,avg deposit amount,avg deposit count,num of days with neg balance,credit score,satisfactory credit account,delinquent credit account,credit inquiries,past default,time since last default,number of lenders,individual lender withdrawals,monthly lender withdrawal,leftover cashflow,approval,offer,rate,term (days)
TOWING COMPANY,44167.96,28053.59,26369.72,32863.76,7,0,580,32,14,32,True,2,0,N/A,0.0,32863.76,Denied,0.0,0.0,0
TOWING COMPANY,35777.15,22398.76,35045.86,31073.93,9,4,476,34,18,7,True,1,1,530.35,11529.81,19544.12,Denied,0.0,0.0,0
DENTISTS' OFFICE,25382.99,14374.92,16496.9,18751.6,12,3,446,26,2,33,True,0,0,N/A,0.0,18751.6,Denied,0.0,0.0,0
CAR DEALER,0,26305.85,19109.78,15138.54,5,7,706,20,32,25,True,0,0,N/A,0.0,15138.54,Denied,0.0,0.0,0
HOTEL,27224.7,2387.61,14092.98,14568.43,21,0,587,5,30,16,False,-1,3,222.68;154.81;74.54,9827.13,4741.3,Approved,3000,1.45,60
FITNESS CENTER,4230.78,3526.42,4248.02,4001.74,11,2,490,30,34,28,False,-1,0,N/A,0.0,4001.74,Denied,0.0,0.0,0
HOTEL,6906.38,21473.23,27066.94,18482.18,20,9,616,13,9,32,False,-1,5,367.47;192.21;127.36;111.10;59.01,18634.44,0,Denied,0.0,0.0,0
RESTAURANT,7591.08,4906.32,10311.38,7602.93,19,0,559,8,4,30,False,-1,2,119.76;80.11,4345.17,3257.75,Approved,2000,1.45,60
STAFFING COMPANY,24760.29,18600.64,13884.15,19081.7,13,0,427,19,28,47,False,-1,4,274.32;208.71;141.34;125.38,16299.56,2782.13,Denied,0.0,0.0,0
CAR DEALER,14796.6,14528.08,14764.38,14696.35,4,2,634,12,26,15,False,-1,3,207.62;150.73;97.36,9907.14,4789.22,Approved,7000,1.45,80
GROCERY STORE,5389.37,14390.96,12580.27,10786.87,17,0,524,9,16,36,False,-1,2,137.77;83.37,4807.58,5979.29,Approved,2000,1.45,60
DAY CARE CENTER,20779.34,14102.93,5480.64,13454.31,10,0,534,34,31,48,True,1,1,219.77,4777.8,8676.51,Denied,0.0,0.0,0
OTHER,31294.97,25363.34,54257.86,36972.06,10,0,621,17,23,39,False,-1,5,689.21;258.45;236.20;182.01;161.93,33214.37,3757.68,Denied,0.0,0.0,0
OTHER,10406.35,13013.99,12413.95,11944.77,10,8,523,22,8,24,True,2,2,227.16;147.09,8136.19,3808.57,Approved,3000,1.45,60
CAR DEALER,69065.19,95517.05,14634.44,59738.89,7,0,609,12,24,26,False,-1,0,N/A,0.0,59738.89,Approved,15000,1.45,70
INSURANCE AGENT,31990.53,35264.93,32855.1,33370.18,6,0,554,6,24,32,False,-1,2,484.67;377.62,18746.18,14624.0,Approved,18000,1.47,100
TRUCKING COMPANY,21377.89,17400.38,66878.74,35219.0,4,0,653,10,25,29,True,0,0,N/A,0.0,35219.0,Denied,0.0,0.0,0
JANITORIAL SERVICE,31058.71,0,35897.1,22318.6,12,4,370,27,29,32,False,-1,3,251.76;191.46;104.51,11907.65,10410.95,Denied,0.0,0.0,0
OTHER,32821.69,31106.56,26989.26,30305.83,14,0,612,28,11,32,False,-1,2,560.30;291.43,18516.61,11789.22,Approved,10000,1.45,75
DENTISTS' OFFICE,10512.49,8651.83,19587.16,12917.16,11,4,424,0,31,14,True,0,0,N/A,0.0,12917.16,Denied,0.0,0.0,0
CAR DEALER,20554.57,28118.53,30083.27,26252.12,8,6,649,14,9,11,False,-1,1,515.10,11198.27,15053.85,Approved,10500,1.45,70
GAS STATION,42527.66,14247.77,34813.59,30529.67,17,3,478,4,1,32,True,2,0,N/A,0.0,30529.67,Denied,0.0,0.0,0
JANITORIAL SERVICE,6242.63,43274.14,32437.28,27318.02,10,0,548,27,29,51,True,0,0,N/A,0.0,27318.02,Denied,0.0,0.0,0
OTHER,63722.62,54569.38,0,39430.67,10,3,589,33,3,5,True,0,0,N/A,0.0,39430.67,Denied,0.0,0.0,0
STAFFING COMPANY,18477.05,21680.62,23969.33,21375.67,20,0,519,25,13,42,False,-1,2,269.34;208.13,10380.2,10995.47,Approved,5000,1.45,70
LUXURY TRANSPORTATION SERVICE,44949.03,8007.36,0,17652.13,7,1,451,5,17,17,True,0,1,278.79,6060.89,11591.24,Denied,0.0,0.0,0
CONSTRUCTION RELATED,0,13095.66,6200.49,6432.05,9,2,669,14,25,29,False,-1,7,79.97;56.13;32.90;34.66;37.05;23.37;23.81,6258.73,173.32,Denied,0.0,0.0,0
RESTAURANT,6639.65,8565.41,5624.6,6943.22,18,4,553,2,15,19,True,1,2,90.64;43.23,2910.33,4032.89,Denied,0.0,0.0,0
HOTEL,3619.04,2509.62,2318.71,2815.79,20,0,302,10,1,23,True,1,0,N/A,0.0,2815.79,Denied,0.0,0.0,0
GROCERY STORE,7813.0,8566.31,8093.41,8157.57,16,7,461,6,22,32,True,3,0,N/A,0.0,8157.57,Denied,0.0,0.0,0
OTHER,31140.64,16246.12,33008.75,26798.5,6,7,679,11,11,22,True,2,0,N/A,0.0,26798.5,Denied,0.0,0.0,0
INSURANCE AGENT,10183.5,21315.6,0,10499.7,4,0,588,3,3,33,False,-1,3,164.76;77.52;73.15,6857.45,3642.25,Denied,0.0,0.0,0
DAY CARE CENTER,20535.94,39247.41,19307.2,26363.52,9,0,683,30,32,41,True,4,0,N/A,0.0,26363.52,Denied,0.0,0.0,0
TRUCKING COMPANY,11137.5,11812.59,11415.47,11455.19,5,0,499,4,2,30,False,-1,1,237.82,5170.21,6284.98,Approved,5000,1.45,70
RESTAURANT,42204.66,36752.92,23534.24,34163.94,18,3,682,34,31,36,False,-1,5,523.65;372.19;159.08;200.35;136.34,30253.6,3910.34,Approved,4000,1.45,60
RESTAURANT,30368.09,25070.04,19801.28,25079.81,18,6,521,30,24,35,True,3,1,355.94,7738.14,17341.67,Approved,5000,1.45,60
LUXURY TRANSPORTATION SERVICE,21748.91,29384.5,15351.69,22161.7,5,0,356,6,8,18,True,2,0,N/A,0.0,22161.7,Denied,0.0,0.0,0
AUTO REPAIR SHOP,18978.83,21533.72,25984.44,22165.66,4,1,593,30,31,21,False,-1,4,360.69;216.80;112.06;108.74,17354.82,4810.84,Approved,4000,1.45,65
FITNESS CENTER,34026.49,16709.97,53109.05,34615.17,8,0,507,20,16,16,False,-1,1,549.42,11944.39,22670.78,Approved,8000,1.45,70
PLUMBER,649.5,4698.26,6146.5,3831.42,7,0,633,20,24,20,False,-1,0,N/A,0.0,3831.42,Denied,0.0,0.0,0
GAS STATION,1986.73,39598.06,57821.5,33135.43,16,0,561,10,23,19,False,-1,4,461.75;268.68;174.81;156.46,23081.36,10054.07,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,18683.05,34628.97,23167.26,25493.1,6,0,610,1,4,32,True,2,1,394.02,8565.99,16927.1,Approved,5000,1.45,60
LUXURY TRANSPORTATION SERVICE,9312.61,7659.12,8799.71,8590.48,7,4,480,7,25,21,True,1,1,153.17,3329.92,5260.57,Denied,0.0,0.0,0
DAY CARE CENTER,5127.25,9542.32,17123.29,10597.62,8,0,487,15,2,17,False,-1,5,228.73;69.74;69.41;39.24;34.52,9601.25,996.36,Denied,0.0,0.0,0
INSURANCE AGENT,14445.94,26393.69,27513.8,22784.48,5,0,641,5,1,46,True,0,0,N/A,0.0,22784.48,Denied,0.0,0.0,0
HOTEL,11511.49,15521.99,15901.81,14311.76,19,0,353,29,22,40,False,-1,1,226.95,4933.89,9377.87,Approved,5000,1.45,70
GAS STATION,29780.58,3952.22,19141.16,17624.65,16,8,580,27,5,26,False,-1,2,215.13;130.98,7524.43,10100.22,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,14227.68,16683.39,13060.05,14657.04,8,1,684,28,23,32,False,-1,2,154.26;131.97,6222.64,8434.4,Approved,5000,1.45,70
JANITORIAL SERVICE,9192.41,6963.71,9185.72,8447.28,12,0,456,8,28,37,True,0,0,N/A,0.0,8447.28,Denied,0.0,0.0,0
TOWING COMPANY,373.25,3728.3,12342.38,5481.31,8,0,630,26,1,33,True,3,0,N/A,0.0,5481.31,Denied,0.0,0.0,0
OTHER,6771.52,4875.11,15353.19,8999.94,14,0,352,14,0,43,True,2,2,145.06;57.99,4414.31,4585.63,Denied,0.0,0.0,0
RESTAURANT,12637.34,62087.84,60532.16,45085.78,16,0,536,2,34,17,True,3,0,N/A,0.0,45085.78,Denied,0.0,0.0,0
FITNESS CENTER,44270.13,51796.74,55270.62,50445.83,8,0,457,28,18,30,True,1,2,803.82;467.58,27640.24,22805.59,Approved,10500,1.45,60
FITNESS CENTER,63417.47,21623.85,70011.19,51684.17,12,0,697,19,33,27,True,2,0,N/A,0.0,51684.17,Denied,0.0,0.0,0
GROCERY STORE,4675.48,3805.73,6621.94,5034.38,16,0,379,34,30,29,True,2,0,N/A,0.0,5034.38,Denied,0.0,0.0,0
GROCERY STORE,4239.3,26242.63,0,10160.65,18,0,623,27,1,29,False,-1,3,135.30;93.64;68.00,6455.48,3705.17,Denied,0.0,0.0,0
OTHER,32698.35,34364.92,28633.74,31899.0,12,10,489,31,27,32,False,-1,7,587.91;356.69;193.49;155.65;169.76;117.65;108.20,36726.47,0,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,3917.25,16570.36,3920.37,8135.99,6,10,849,30,9,38,False,-1,1,116.25,2527.27,5608.72,Denied,0.0,0.0,0
TRUCKING COMPANY,4359.97,2488.82,6290.38,4379.72,5,0,822,0,7,40,True,1,0,N/A,0.0,4379.72,Denied,0.0,0.0,0
TOWING COMPANY,19259.23,19321.67,9252.12,15944.34,10,4,659,14,3,18,False,-1,6,190.41;113.19;113.04;70.15;94.83;52.07,13776.42,2167.92,Denied,0.0,0.0,0
JANITORIAL SERVICE,17768.98,17719.32,16304.93,17264.41,12,6,681,30,9,32,True,0,1,330.98,7195.51,10068.9,Denied,0.0,0.0,0
JANITORIAL SERVICE,3502.12,5247.51,33139.55,13963.06,11,3,610,12,32,39,True,0,0,N/A,0.0,13963.06,Denied,0.0,0.0,0
PLUMBER,41738.49,27195.97,32012.72,33649.06,8,0,655,10,25,61,True,1,2,569.00;393.99,20935.4,12713.66,Approved,5000,1.45,70
FITNESS CENTER,2594.5,9103.67,8315.87,6671.35,13,0,675,25,27,15,True,1,2,84.16;50.64,2930.55,3740.79,Denied,0.0,0.0,0
DAY CARE CENTER,10947.79,9828.04,7242.38,9339.41,7,4,470,32,12,27,False,-1,2,215.23;98.59,6822.45,2516.96,Approved,2000,1.45,60
JANITORIAL SERVICE,75517.43,45418.26,47218.44,56051.37,11,3,540,1,20,29,True,3,1,881.99,19174.46,36876.91,Approved,11000,1.45,70
HOTEL,12543.88,12374.63,11907.99,12275.5,20,0,469,26,13,35,False,-1,5,203.48;100.74;104.21;83.40;62.12,12042.87,232.63,Denied,0.0,0.0,0
DENTISTS' OFFICE,22871.73,8315.36,15872.65,15686.58,10,0,548,11,7,22,False,-1,0,N/A,0.0,15686.58,Approved,7000,1.45,75
CONSTRUCTION RELATED,26489.99,18235.41,6665.06,17130.15,6,7,517,20,31,29,False,-1,2,234.33;120.83,7721.18,9408.98,Approved,5000,1.45,70
HOTEL,36914.41,30931.38,20880.03,29575.27,20,9,592,14,11,45,False,-1,4,347.44;392.84;228.73;167.17,24700.55,4874.72,Denied,0.0,0.0,0
RESTAURANT,26321.03,28163.9,21913.19,25466.04,17,15,516,17,16,41,True,0,0,N/A,0.0,25466.04,Denied,0.0,0.0,0
DENTISTS' OFFICE,7180.49,0,7098.36,4759.62,13,0,452,13,23,40,True,1,0,N/A,0.0,4759.62,Denied,0.0,0.0,0
HOTEL,3661.25,2380.01,2362.41,2801.22,19,3,620,10,16,33,False,-1,0,N/A,0.0,2801.22,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,15711.55,0,23920.29,13210.61,7,3,455,25,19,37,False,-1,4,250.23;93.44;98.08;62.58,10964.13,2246.48,Denied,0.0,0.0,0
PLUMBER,15326.73,11108.73,18460.78,14965.41,8,0,509,31,28,28,False,-1,0,N/A,0.0,14965.41,Approved,7000,1.45,70
PLUMBER,15287.14,16045.4,0,10444.18,7,8,698,3,23,35,False,-1,0,N/A,0.0,10444.18,Denied,0.0,0.0,0
HOTEL,4033.62,3694.12,4080.42,3936.05,19,0,516,25,32,31,False,-1,1,60.60,1317.44,2618.61,Denied,0.0,0.0,0
CONSTRUCTION RELATED,24804.36,22577.01,70473.26,39284.87,6,0,656,15,16,35,True,2,0,N/A,0.0,39284.87,Denied,0.0,0.0,0
HOTEL,47602.69,44522.09,37751.55,43292.11,20,1,460,4,24,19,False,-1,2,694.96;507.20,26134.96,17157.15,Approved,12000,1.45,70
GROCERY STORE,8943.4,9585.83,11597.83,10042.35,17,15,500,32,23,26,True,3,1,205.82,4474.53,5567.83,Approved,2000,1.45,50
JANITORIAL SERVICE,13583.13,15980.57,17563.77,15709.16,14,2,692,27,13,26,True,2,0,N/A,0.0,15709.16,Denied,0.0,0.0,0
HOTEL,0,2949.41,13819.58,5589.67,18,10,482,27,7,39,False,-1,2,73.30;49.48,2669.24,2920.43,Denied,0.0,0.0,0
HOTEL,9446.98,6799.43,41171.15,19139.19,18,4,570,1,11,28,True,0,0,N/A,0.0,19139.19,Denied,0.0,0.0,0
DENTISTS' OFFICE,22893.77,45256.16,28502.86,32217.6,12,0,452,19,5,41,False,-1,1,493.83,10735.86,21481.73,Approved,20000,1.45,100
LUXURY TRANSPORTATION SERVICE,20826.98,33144.61,15076.71,23016.1,6,0,464,8,28,33,True,0,0,N/A,0.0,23016.1,Denied,0.0,0.0,0
GROCERY STORE,40429.06,17401.95,33555.86,30462.29,18,2,647,18,18,36,True,0,2,338.72;223.34,12219.18,18243.1,Approved,5000,1.45,70
CAR DEALER,26955.21,5832.58,26987.08,19924.96,6,7,568,21,31,44,False,-1,1,340.95,7412.25,12512.71,Approved,7000,1.45,70
TRUCKING COMPANY,0,19937.13,12109.28,10682.14,5,0,400,9,23,23,True,2,0,N/A,0.0,10682.14,Denied,0.0,0.0,0
OTHER,39189.9,0,21737.91,20309.27,11,7,715,19,4,32,True,4,0,N/A,0.0,20309.27,Denied,0.0,0.0,0
CAR DEALER,26579.05,31007.43,27300.28,28295.59,5,0,489,21,7,23,True,1,0,N/A,0.0,28295.59,Denied,0.0,0.0,0
GROCERY STORE,11643.08,31440.41,0,14361.16,18,0,568,32,22,24,True,1,1,210.55,4577.36,9783.8,Denied,0.0,0.0,0
HOTEL,17019.29,7974.65,50074.52,25022.82,19,2,477,26,21,53,True,3,1,423.50,9206.89,15815.93,Approved,5000,1.45,60
RESTAURANT,9449.78,20596.21,5312.31,11786.1,19,1,643,19,12,15,False,-1,0,N/A,0.0,11786.1,Approved,3000,1.45,60
LUXURY TRANSPORTATION SERVICE,4960.3,18676.73,22768.44,15468.49,6,9,540,18,4,45,False,-1,3,242.74;133.07;97.85,10297.37,5171.12,Denied,0.0,0.0,0
FITNESS CENTER,8388.64,10575.6,13433.51,10799.25,11,8,522,27,12,32,True,2,0,N/A,0.0,10799.25,Denied,0.0,0.0,0
STAFFING COMPANY,39149.7,41850.76,28928.69,36643.05,19,0,408,27,15,24,True,2,0,N/A,0.0,36643.05,Denied,0.0,0.0,0
TRUCKING COMPANY,0,72463.54,32485.48,34983.0,5,0,615,7,13,18,False,-1,6,584.28;260.96;215.15;176.20;161.57;99.82,32566.09,2416.92,Denied,0.0,0.0,0
HOTEL,33776.95,23992.2,57630.97,38466.71,19,0,495,15,8,50,False,-1,1,623.83,13562.06,24904.64,Approved,25000,1.45,110
HOTEL,26214.0,22018.56,23659.89,23964.15,19,4,315,14,19,30,True,1,0,N/A,0.0,23964.15,Denied,0.0,0.0,0
TRUCKING COMPANY,15319.4,6222.89,6777.53,9439.94,3,0,651,17,4,38,True,2,1,130.71,2841.64,6598.3,Denied,0.0,0.0,0
HOTEL,6911.47,4841.79,3954.11,5235.79,20,6,516,17,24,27,True,2,0,N/A,0.0,5235.79,Denied,0.0,0.0,0
AUTO REPAIR SHOP,4763.96,3723.47,4323.41,4270.28,6,0,543,17,24,33,False,-1,0,N/A,0.0,4270.28,Approved,2000,1.45,60
DENTISTS' OFFICE,17999.79,16076.46,14524.4,16200.22,11,0,641,12,2,23,True,3,0,N/A,0.0,16200.22,Denied,0.0,0.0,0
TRUCKING COMPANY,50574.05,13303.85,9506.9,24461.6,5,0,715,20,32,30,True,3,0,N/A,0.0,24461.6,Denied,0.0,0.0,0
RESTAURANT,28217.91,17235.5,23481.63,22978.35,19,0,561,2,33,32,True,2,0,N/A,0.0,22978.35,Denied,0.0,0.0,0
GAS STATION,2324.32,0,11473.93,4599.42,18,0,694,11,0,25,True,3,0,N/A,0.0,4599.42,Denied,0.0,0.0,0
TOWING COMPANY,37974.22,35951.48,30063.12,34662.94,11,2,495,0,23,19,True,0,0,N/A,0.0,34662.94,Denied,0.0,0.0,0
RESTAURANT,2531.64,0,2235.06,1588.9,20,0,601,26,13,20,True,2,1,31.15,677.2,911.7,Denied,0.0,0.0,0
CONSTRUCTION RELATED,15745.02,13129.41,8368.74,12414.39,3,0,515,34,18,35,True,3,0,N/A,0.0,12414.39,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,18621.25,14125.56,14684.49,15810.44,6,5,535,12,24,23,True,2,0,N/A,0.0,15810.44,Denied,0.0,0.0,0
INSURANCE AGENT,27893.2,27896.09,34564.2,30117.83,8,1,547,7,23,34,True,0,0,N/A,0.0,30117.83,Denied,0.0,0.0,0
AUTO REPAIR SHOP,67003.99,9628.95,83333.86,53322.27,8,1,483,7,28,24,False,-1,3,848.08;595.52;270.30,37260.19,16062.08,Approved,7000,1.45,70
GROCERY STORE,8165.25,6997.63,6014.65,7059.17,16,0,592,15,5,48,False,-1,4,119.25;42.03;32.17;37.15,5013.24,2045.93,Denied,0.0,0.0,0
STAFFING COMPANY,2538.69,1289.49,1621.97,1816.71,14,5,663,17,12,40,True,2,0,N/A,0.0,1816.71,Denied,0.0,0.0,0
FITNESS CENTER,42049.71,53338.44,26332.18,40573.44,7,2,518,24,6,22,False,-1,3,634.27;302.67;254.57,25903.43,14670.01,Approved,6000,1.45,70
RESTAURANT,12414.07,20124.03,7555.63,13364.58,15,3,717,15,7,34,True,0,1,180.69,3928.2,9436.38,Approved,3000,1.45,60
TOWING COMPANY,9196.99,5228.55,6280.7,6902.08,7,5,525,19,8,56,False,-1,3,103.19;50.15;49.58,4411.48,2490.6,Denied,0.0,0.0,0
DAY CARE CENTER,0,37089.35,58241.96,31777.1,10,4,780,13,32,47,True,0,1,421.00,9152.54,22624.56,Denied,0.0,0.0,0
HOTEL,35944.1,30559.28,17801.15,28101.51,20,0,599,21,25,27,True,3,0,N/A,0.0,28101.51,Denied,0.0,0.0,0
FITNESS CENTER,2591.27,2345.81,3912.99,2950.02,9,7,485,1,2,23,True,3,0,N/A,0.0,2950.02,Denied,0.0,0.0,0
TRUCKING COMPANY,32727.33,10610.67,53705.22,32347.74,4,11,456,31,16,25,False,-1,1,560.18,12178.31,20169.43,Approved,7000,1.45,70
PLUMBER,17636.06,22338.88,9862.52,16612.49,8,0,664,30,3,18,False,-1,2,198.64;199.82,8662.52,7949.97,Approved,4500,1.45,60
INSURANCE AGENT,38853.9,50864.62,16304.14,35340.89,8,0,487,16,6,24,True,1,0,N/A,0.0,35340.89,Denied,0.0,0.0,0
RESTAURANT,5992.56,1325.77,6992.73,4770.35,18,8,637,9,1,27,False,-1,0,N/A,0.0,4770.35,Denied,0.0,0.0,0
OTHER,6675.72,19763.64,10877.96,12439.11,14,0,683,27,7,34,True,1,0,N/A,0.0,12439.11,Denied,0.0,0.0,0
STAFFING COMPANY,38997.66,23240.2,49178.29,37138.72,15,0,495,28,31,7,False,-1,1,551.28,11984.83,25153.89,Approved,12000,1.45,70
TOWING COMPANY,22375.93,3687.06,6661.22,10908.07,9,0,452,19,13,17,False,-1,6,207.91;101.27;63.24;62.24;54.99;27.08,11233.71,0,Denied,0.0,0.0,0
RESTAURANT,1941.18,9953.51,7843.32,6579.34,18,4,453,28,7,43,False,-1,4,150.32;56.80;35.44;34.05,6013.5,565.84,Denied,0.0,0.0,0
DAY CARE CENTER,0,0,8926.16,2975.39,9,4,709,20,33,15,True,2,0,N/A,0.0,2975.39,Denied,0.0,0.0,0
INSURANCE AGENT,69931.02,17220.38,69356.17,52169.19,8,9,472,24,7,21,False,-1,4,809.82;544.06;387.30;322.08,44855.27,7313.92,Approved,5000,1.45,70
GAS STATION,18460.03,14439.9,8116.7,13672.21,19,18,608,21,23,33,False,-1,0,N/A,0.0,13672.21,Approved,5000,1.45,100
TRUCKING COMPANY,8064.43,6140.04,7323.26,7175.91,4,15,601,20,32,21,True,1,0,N/A,0.0,7175.91,Denied,0.0,0.0,0
DENTISTS' OFFICE,5160.4,3045.74,5433.06,4546.4,11,7,350,15,9,30,False,-1,1,44.98,977.87,3568.53,Approved,2500,1.45,60
HOTEL,0,38252.05,18760.81,19004.28,20,5,468,0,19,35,False,-1,1,313.37,6812.66,12191.62,Denied,0.0,0.0,0
RESTAURANT,9050.05,9102.88,3071.02,7074.65,19,0,537,33,32,11,False,-1,3,98.13;96.24;34.99,4986.29,2088.36,Approved,2000,1.45,60
INSURANCE AGENT,1717.32,1524.4,3952.84,2398.19,6,0,544,9,0,24,True,2,2,35.15;23.56,1276.36,1121.83,Denied,0.0,0.0,0
JANITORIAL SERVICE,37607.85,48025.01,38344.04,41325.63,12,0,607,18,17,36,False,-1,5,535.91;369.56;298.42;204.18;139.78,33650.26,7675.38,Approved,4500,1.45,50
DAY CARE CENTER,18900.93,11183.6,10057.58,13380.7,10,2,847,11,8,35,True,2,0,N/A,0.0,13380.7,Denied,0.0,0.0,0
CONSTRUCTION RELATED,9890.82,20305.65,42930.42,24375.63,5,0,401,14,23,34,True,2,0,N/A,0.0,24375.63,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,16767.78,25617.3,39382.19,27255.76,9,6,470,20,30,41,True,2,0,N/A,0.0,27255.76,Denied,0.0,0.0,0
DENTISTS' OFFICE,19012.4,10349.57,12481.51,13947.83,12,0,693,3,24,48,False,-1,4,232.62;118.94;94.63;50.18,10791.08,3156.74,Approved,3000,1.45,60
OTHER,15896.45,7340.33,29446.84,17561.2,8,0,650,10,8,23,False,-1,4,244.20;159.17;92.48;85.86,12646.38,4914.83,Denied,0.0,0.0,0
CONSTRUCTION RELATED,51951.2,49575.5,44688.63,48738.44,7,0,512,16,0,31,False,-1,3,715.45;602.20;299.41,35154.88,13583.55,Approved,8000,1.45,70
JANITORIAL SERVICE,16265.69,15297.37,4452.7,12005.26,11,0,668,31,15,18,False,-1,3,221.10;133.48;77.51,9393.64,2611.62,Approved,3000,1.45,60
AUTO REPAIR SHOP,29713.46,24027.23,19566.17,24435.62,7,6,519,24,7,32,True,3,0,N/A,0.0,24435.62,Denied,0.0,0.0,0
STAFFING COMPANY,14560.55,13294.16,11818.23,13224.32,15,0,639,16,18,29,False,-1,6,111.49;107.70;38.55;103.12;56.78;65.42,10501.72,2722.59,Denied,0.0,0.0,0
INSURANCE AGENT,3709.31,3319.44,3170.56,3399.77,6,0,645,5,31,29,True,0,0,N/A,0.0,3399.77,Denied,0.0,0.0,0
TRUCKING COMPANY,16698.71,16855.6,19921.66,17825.33,4,0,531,17,26,27,False,-1,0,N/A,0.0,17825.33,Approved,7000,1.45,70
RESTAURANT,47933.5,24522.99,45710.52,39389.0,17,0,519,17,33,20,False,-1,3,525.15;378.13;200.19,23989.44,15399.56,Approved,10500,1.45,90
GAS STATION,29390.93,32245.43,27439.09,29691.82,18,12,528,26,24,16,True,1,0,N/A,0.0,29691.82,Denied,0.0,0.0,0
DENTISTS' OFFICE,31894.47,0,14635.51,15509.99,10,0,526,21,19,22,True,0,0,N/A,0.0,15509.99,Denied,0.0,0.0,0
PLUMBER,18929.46,5912.92,15153.6,13331.99,5,0,634,16,25,21,False,-1,2,238.69;144.38,8327.94,5004.05,Approved,4000,1.45,60
STAFFING COMPANY,2505.73,491.59,2851.41,1949.58,13,0,523,14,12,33,True,0,0,N/A,0.0,1949.58,Denied,0.0,0.0,0
AUTO REPAIR SHOP,0,0,5635.15,1878.38,7,2,458,30,8,44,False,-1,0,N/A,0.0,1878.38,Denied,0.0,0.0,0
CAR DEALER,8609.42,10779.17,11628.02,10338.87,4,0,663,20,5,34,False,-1,3,142.64;57.75;55.58,5564.79,4774.08,Denied,0.0,0.0,0
DENTISTS' OFFICE,11710.28,13651.24,11522.83,12294.78,11,0,480,29,0,20,True,0,0,N/A,0.0,12294.78,Denied,0.0,0.0,0
GROCERY STORE,4942.09,6360.91,6582.3,5961.77,19,0,495,26,7,35,False,-1,5,109.59;77.72;34.59;26.35;26.57,5974.59,0,Denied,0.0,0.0,0
DENTISTS' OFFICE,4279.51,0,8763.8,4347.77,12,3,484,8,27,33,True,2,0,N/A,0.0,4347.77,Denied,0.0,0.0,0
AUTO REPAIR SHOP,23961.65,23782.89,17854.42,21866.32,9,9,508,10,27,21,False,-1,0,N/A,0.0,21866.32,Approved,11000,1.45,100
INSURANCE AGENT,27570.33,17715.21,20818.95,22034.83,6,15,497,0,4,19,False,-1,2,358.20;205.81,12261.58,9773.25,Approved,5000,1.45,70
DAY CARE CENTER,23141.62,23287.66,35146.62,27191.97,9,1,684,30,2,37,True,0,0,N/A,0.0,27191.97,Denied,0.0,0.0,0
CONSTRUCTION RELATED,31502.09,38652.41,42837.43,37663.97,4,10,369,30,24,41,False,-1,4,701.04;248.94;289.39;213.61,31587.79,6076.19,Approved,4000,1.45,60
INSURANCE AGENT,22135.17,18990.37,23534.22,21553.25,7,13,698,31,25,42,False,-1,3,400.12;228.16;164.10,17226.34,4326.91,Approved,5000,1.45,70
TRUCKING COMPANY,24622.68,658.74,17179.02,14153.48,6,6,465,20,15,28,True,3,0,N/A,0.0,14153.48,Denied,0.0,0.0,0
CAR DEALER,16718.75,50708.5,0,22475.75,7,0,654,20,23,30,True,1,0,N/A,0.0,22475.75,Denied,0.0,0.0,0
PLUMBER,4325.16,4705.29,3218.41,4082.95,7,5,605,19,9,47,False,-1,1,63.66,1383.97,2698.98,Approved,2000,1.45,60
PLUMBER,1757.12,3000.88,1074.59,1944.2,8,16,679,22,12,25,True,2,1,39.87,866.77,1077.42,Denied,0.0,0.0,0
STAFFING COMPANY,2941.55,23736.73,7188.61,11288.96,17,0,646,32,26,35,False,-1,3,142.65;111.76;56.59,6761.14,4527.82,Denied,0.0,0.0,0
TOWING COMPANY,16230.98,27196.78,31045.51,24824.42,9,0,506,6,3,23,True,1,1,283.60,6165.46,18658.96,Approved,4000,1.45,60
CONSTRUCTION RELATED,6746.84,1148.2,2951.63,3615.55,5,9,583,7,20,21,False,-1,1,54.37,1182.0,2433.55,Denied,0.0,0.0,0
HOTEL,4910.59,1881.79,12326.66,6373.02,19,13,652,8,18,50,True,1,1,84.75,1842.46,4530.55,Denied,0.0,0.0,0
FITNESS CENTER,53682.84,49551.13,9978.36,37737.44,11,0,646,33,3,36,False,-1,0,N/A,0.0,37737.44,Approved,12000,1.45,90
GAS STATION,13244.21,35174.8,28.5,16149.17,17,0,543,31,20,43,False,-1,6,195.37;173.12;102.77;79.08;60.91;53.07,14442.32,1706.85,Denied,0.0,0.0,0
CONSTRUCTION RELATED,11169.67,20782.13,36136.0,22695.93,4,7,473,12,18,25,True,3,0,N/A,0.0,22695.93,Denied,0.0,0.0,0
FITNESS CENTER,11543.96,14484.17,18360.99,14796.37,14,0,489,3,34,37,True,2,1,231.02,5022.37,9774.0,Denied,0.0,0.0,0
